NCT Number,Study Title,Study Status,Brief Summary,Study Results,Conditions,Interventions,Primary Outcome Measures,Secondary Outcome Measures,Phases,Enrollment
NCT06989320,Endogenous Oxalate Synthesis in Idiopathic Calcium Oxalate Kidney Stone Disease,RECRUITING,"The goal of this clinical trial study is to test if patients with idiopathic calcium oxalate kidney stones have an increased production of oxalate by the body, which would lead to increased urinary excretion of oxalate.

The study will recruit adult patients with a history of calcium oxalate kidney stones and healthy volunteers without kidney stones.

Participants will

ingest fixed diets containing low amounts of oxalate for 5 days ingest a soluble form of glycolate and vitamin C collect urine, blood, stool during the dietary and oral dosing portions of the study and also collect breath sample during the oral glycolate test",NO,"Kidney Stones|Kidney Calculi|Urolithiasis|Urolithiasis, Calcium Oxalate|Nephrolithiasis|Nephrolithiasis, Calcium Oxalate|Oxalate Urolithiasis|Healthy|Healthy Volunteer",DIETARY_SUPPLEMENT: Low-oxalate diet and glycolate dosing|DIETARY_SUPPLEMENT: Oral glycolate dosing|DIETARY_SUPPLEMENT: Oral 13C- ascorbic acid dosing,"Estimated endogenous oxalate synthesis (oxalate mg/day), Basal rate of endogenous oxalate synthesis estimated by repeat fasted hourly urine collections (mg/day), 1 day","24-hour urinary oxalate excretion on low oxalate diet, mean 24-hour urinary oxalate excretion on the low oxalate diet (mg/day), 2 days|contribution of ascorbic acid breakdown to urinary oxalate excretion, contribution of ascorbic acid breakdown to oxalate synthesis (%), 2 days",NA,80
NCT06101563,Duration Between Drainage and Ureteroscopic Lithotripsy,COMPLETED,This study will be conducted to compare early (seven days) versus delayed (14-21 days) definitive ureteroscopic lithotripsy after initial drainage for obstructing ureteral or renal stones associated with infection.,NO,Ureter Stone|Renal Stone|Ureteric Obstruction,PROCEDURE: Early ureteroscopy|PROCEDURE: Delayed Ureteroscopy,"Percentage of postoperative infectious complications in treatment groups, Difference in post-URS infectious complications between the study groups. infectious complications are defined as presence of urinary tract infection with one of the following findings: - Body temperature more than 38.3C or below 36C. - Tachycardia (\>90/minute). - Respiratory rate more than 20/minute. - Disturbed mental status. - Systolic blood pressure \< 90 mmHg \& mean arterial pressure \< 70 mmHg or systolic blood pressure decrease \< 40 mmHg. - WBC \>12,000 or \<4,000., 30 days",,NA,96
NCT07071948,A Single-Center Clinical Study on the Efficacy and Safety of VISOR,RECRUITING,"Goal of this trial:

To test a new tool called VISOR in adults (aged 18-80) with 1-3 cm kidney or ureter stones. We want to see:

1. If it's safe and works well
2. If its built-in features (flushing/suction, pressure control, and stone-breaking/removal) help clear stones better while keeping surgery safe.

Main questions:

1. Can the VISOR clear stones successfully (with fragments \<4 mm left) for at least 9 out of every 10 people within 24 hours after surgery?
2. Will serious problems (like severe infections or ureteral injuries) happen to no more than 1 in 20 people (5%)?
3. Can the device keep pressure inside the kidney below 30 mmHg (a safe level) during the entire surgery?

What participants will do:

Have stone removal surgery using VISOR (breaks and removes stones at the same time).

Get a CT scan within 24 hours after surgery to check if stones are cleared.

Return 4 weeks (±1 week) after surgery for:

An imaging test (CT or ultrasound)

A check for any health problems related to the surgery.",NO,"Urolithiasis, Calcium Oxalate|Kidney Stone",DEVICE: Multifunctional Integrated Flexible Ureteroscope,"24-hour stone-free rate after Xinwell Scope lithotripsy, Proportion of participants with complete stone clearance (defined as no residual fragment ≥4 mm in maximum diameter) assessed by non-contrast urinary CT scan within 24 hours post-surgery. Calculated as:

(Number of patients with residual stones \<4 mm / Total analyzed participants) × 100% Significance: Directly evaluates the device's integrated suction function for real-time fragment removal during the procedure., within 24 hours postoperatively","1-month stone-free rate, Proportion of participants with residual stones \<4 mm assessed by CT (if baseline residual ≥4 mm) or renal ultrasound (if no baseline residual) at 28±7 days post-surgery., 28±7 days postoperatively|Operative time, Duration (minutes) from initial ureteroscope insertion to final removal., During surgery|Intraoperative renal pelvic pressure, Mean/Max pressure (mmHg) recorded by built-in sensor. Safety target: \<30 mmHg., Continuous monitoring during lithotripsy|Ureteral injury rate, Graded via intraoperative video review:

Grade 0: Mucosal bleeding only

Grade 1-4: Mucosal to full-thickness injury, During surgery|Postoperative complication rate, Includes:

Fever (\>38.0°C within 24h)

Clavien-Dindo grade ≥II complications

Ureteral stenosis (imaging-confirmed at 1 months), 24h, 28 ±7 days , 1 month",NA,20
NCT07124299,Alpha-Blockers Prior to Ureteral Access Sheath Placement in Flexible Ureteroscopy: A Randomized Prospective Study,RECRUITING,This study aims to evaluate whether the use of alpha-blockers before flexible ureterorenolithotripsy facilitates the passage of the ureteral access sheath. The trial will enroll adult patients diagnosed with kidney stones who are scheduled for flexible ureteroscopy. Participants will be randomly assigned to receive or not receive alpha-blockers for seven days before surgery. The primary outcome is the rate of successful sheath placement without the need for a second procedure. Secondary outcomes include the incidence of ureteral injuries and the need for additional surgical interventions. The goal is to improve surgical efficiency and patient outcomes in the treatment of kidney stones.,NO,Nephrolithiasis|Alpha Blocker|Ureteral Access Sheath,DRUG: Experimental: Alpha-blocker group|DRUG: No intervention (observational study),"Reduction in the failure rate of ureteral access sheath insertion with preoperative tamsulosin use, During the surgical procedure",,PHASE4,140
NCT06122129,Flexible Ureteroscopy With and Without Ureteral Access Sheath in Treatment of Large Renal Stones,COMPLETED,The aim of this study is to evaluate the flexible ureteroscope (FURS) technique with and without ureteral access sheath (UAS).,NO,Flexible Ureteroscopy|Ureteral Access Sheath|Large Renal Stones,PROCEDURE: Flexible ureteroscope with ureteral access sheath|PROCEDURE: Flexible ureteroscope without ureteral access sheath,"Operative time, Time from sterilization till the end of surgery, Intraperatively","Stone-free rate, Stone-free status was defined as no residual stones or residual stones with a maximum diameter ≤ 4 mm with no clinical symptoms at 1 month after the procedure, 28 days after intervention|Complications, Complications such as mucosal lacerations, bleeding, urosepsis, and stein Strasse., 28 days after intervention|Duration of stay, Time from admission till hospital discharge, 28 days after intervention|Number of patients who need ancillary procedures, Need for Ancillary Procedures if there was residual., 28 days after intervention",NA,84
NCT02829060,Endourology Disease Group Excellence (EDGE) Consortium: Antibiotics (Abx) for Percutaneous Nephrolithotomy (PCNL) Part 2,COMPLETED,This study will be a multi-institutional randomized clinical trial of a short course of pre-operative antibiotic prophylaxis in addition to perioperative antibiotics prior to undergoing percutaneous nephrolithotomy. The select patient population will be those patients deemed to be at a moderately increased risk of postoperative infectious complications. These higher risk patients are those with indwelling urinary drainage tubes and those with a positive preoperative urine culture.,NO,Nephrolithiasis|Urinary Tract Infection (UTI)|Sepsis,"DRUG: Nitrofurantoin 100 MG, 7d|DRUG: Gentamicin, 5mg/kg|DRUG: Ampicillin 2g|DRUG: Nitrofurantoin 100 mg, 48 hrs|DRUG: Gentamicin, 80 mg, 7d|DRUG: Gentamicin, 80 mg, 48hr","postoperative sepsis, Sepsis will be defined by the 2012 International Guidelines for the Management of Severe Sepsis and Septic Shock where 2 or more of the following variables are present and temporally associated

* Temp \> 38.3C or \<36C
* Heart Rate \> 90/min (at least 12 hrs after surgery)
* Respiratory Rate \>20/min (at least 12 hrs after surgery)
* Altered mental status: defined as lack of orientation to either name, place or time/date
* Systolic Blood Pressure (SBP) \<90 mmHg, Mean Arterial Pressure \<70 mmHg, or SBP decrease \>40 mmHg in adults
* White blood cell (WBC) \> 12000 or \<4000, 30 days","rate of nonseptic bacteruria, -non septic bacteria is the presence of any colony forming units on urine culture where sepsis is not present, 30 days|stone-free rate, stone free defined as absence of kidney stone on all post-operative imaging (plain kidney-ureter-bladder X-ray or renal ultrasound or computed tomography), 30 days|Length of hospital stay, hospital day defined as any inpatient stay \< or = 24 hours, 30 days",NA,330
NCT02032316,Feasibility Study of the Uriprene Stent Following Uncomplicated Ureteroscopy,COMPLETED,"A prospective, single-center, single-arm, trial to demonstrate safety and device performance of the ADVA-Tec Uriprene™ Degradable Temporary Ureteral Stent. This is a first-in-man clinical study in a small human population.",NO,Unilateral Ureteral Stone|Renal Stone Fragments ≤ 2mm,DEVICE: Post-Ureteroscopy ADVA-Tec Uriprene™ Degradable Temporary Ureteral Stent,"Safety, Composite of new-onset serious adverse event(s) including death, infection, the occurrence of surgery, re-hospitalization and or repeat hospitalization related to the device, or device related injury of the ureter., 90 days","Technical Success, Technical success of the device defined as complete degradation of the stent within 90 days, as measured by radiology, 90 days|Pain, Degree of comfort and pain as measured by the Pain, Symptom, and Satisfaction Questionnaire, 90 days",PHASE1,8
NCT04856722,"Mini-PNL, RIRS, and ESWL for Treatment of Medium-Sized, High-Density, Non-Lower Pole, Renal Stones",COMPLETED,"The optimal management of medium-sized renal stones remains quite challenging and continues to be contested. In the present study, the investigators will compare mini-PNL, RIRS and SWL in the treatment of non- lower pole, medium size, high dense renal stones regarding the stone-free rate, the safety of the procedures, cost, and patients' and surgeon's satisfaction. Eligible patients will be randomly allocated into three equal groups (mini-PNL, RIRS, and SWL). Postoperative, patients will be followed-up by regularly for 3 months. The study parameters will be compared between groups.",NO,Renal Stone|Percutaneous Nephrolithotomy|Retrograde Intrarenal Surgery|Extracorporeal Shockwave Lithotripsy,PROCEDURE: mini-PNL|PROCEDURE: RIRS|PROCEDURE: SWL,"Stone-free rate, Stone free status is defined as no residual renal stone or residual fragment(s) less than 4 mm size., as detected by non-contrasted computed tomography 3 months after the intervention procedures.|Complication rate, intra- and post-operative complications, up to 3 months.","Cost of treatment, The cost of each treatment methods will be estimated, Including the devices, disposable instruments, operating room, bed stay, imaging, laboratory, medications, retreatment and ancillary procedures., throughout the study procedure, up to 3 months post-operative.|Patients satisfaction, A 5-point scale will be used to assess satisfaction, where 1 is unsatisfied and 5 fully satisfied., throughout the study procedure, up to 3 months post-operative|Surgeon's satisfaction., A 5-point scale will be used to assess satisfaction, where 1 is unsatisfied and 5 fully satisfied., throughout the study procedure, up to 3 months post-operative",NA,255
NCT00177086,Alfuzosin Hydrochloride to Promote Passage of Distal Ureteral Calculi,COMPLETED,"This study will assess improvement in the percentage of spontaneous stone passage for distal ureteral calculi for alfuzosin compared to placebo, decrease of pain and narcotic/analgesic use associated with stone passage, decrease of the time to spontaneous stone passage, shift in the size distribution of stones passed towards larger sizes.",NO,Kidney Calculi|Ureteral Calculi|Colic,OTHER: Alfuzosin Hydrochloride,"Spontaneous stone passage for distal ureteral calculi, increased","Decrease the pain and narcotic use associated with stone passage, decrease|Decrease the time to spontaneous passage, decrease|Shift the size distribution of stones passed towards larger sizes",PHASE3,76
NCT06331546,Gut Oxalate Absorption in Calcium Oxalate Stone Disease,RECRUITING,"The goal of this clinical trial study is to test if patients with idiopathic calcium oxalate kidney stones have an increased absorption of dietary oxalate, which would lead to increased urinary excretion of oxalate.

The study will recruit adult patients with a history of calcium oxalate kidney stones and healthy volunteers without kidney stones.

Participants will

* ingest fixed diets containing low and moderately high amounts of oxalate for 5 days at a time
* ingest a soluble form of oxalate and sugar preparations to test gut permeability
* collect urine, blood, stool and breath sample during the fixed diets and the soluble oxalate test",NO,"Kidney Stone|Kidney Calculi|Urolithiasis|Urolithiasis, Calcium Oxalate|Nephrolithiasis|Nephrolithiasis, Calcium Oxalate|Oxalate Urolithiasis|Oxaluria|Healthy",DIETARY_SUPPLEMENT: Low-oxalate diet|DIETARY_SUPPLEMENT: High-oxalate diet|OTHER: soluble oxalate gut absorption test,"Net Gastrointestinal absorption of food-bound oxalate, difference between 24-hour urinary oxalate excretion on the high oxalate diet and the low oxalate diet, normalized to the difference in dietary oxalate composition of the two diets (%), 4 day","Absorption of soluble 13C2-oxalate, Proportion of 13C2-oxalate recovered in urine to the amount orally ingested (%), 1 day|Estimated endogenous oxalate synthesis (oxalate mg/day), 24-hour urinary oxalate excretion on the low oxalate diet (mg/day), 2 days",NA,80
NCT01144949,Study of Silodosin to Facilitate Passage of Urinary Stones,COMPLETED,The purpose of this study is to assess if patients treated with silodosin will have a higher spontaneous passage rate of their ureteral stone than those treated with placebo.,YES,Ureteral Calculi|Kidney Stones|Urolithiasis,DRUG: silodosin|DRUG: placebo,"Spontaneous Stone Passage (Distal Stones) Without Need for Emergency Department Visits, Hospital Admissions, Surgical Intervention, or Other Interventional Procedures., The primary efficacy variable is the occurrence of spontaneous distal stone passage within 4 weeks, as determined by radiography.

For this outcome measure, analysis includes only those stones located in the distal ureter., 4 weeks|Spontaneous Stone Passage (All Stones) Without Need for Emergency Department Visits, Hospital Admissions, Surgical Intervention, or Other Interventional Procedures., The primary efficacy variable is the occurrence of spontaneous stone passage within 4 weeks, as determined by radiography. For this outcome measure, analysis includes all ureteral stones, regardless of location in the ureter., 4 weeks","Time to Spontaneous Stone Passage (Distal Stones), Time to stone passage for distally-located stones is assessed by entries in subject diaries., 4 weeks|Outpatient Narcotic Analgesic Use for Pain Relief, Narcotic analgesic use was assessed through a subject diary. Analysis was performed on the number of days with analgesic use., 4 weeks|Change From Baseline in Average Score on the Brief Pain Inventory (Distal Stones), At each study visit, subjects were given a Brief Pain Inventory (BPI) Questionnaire to complete. The BPI collects subject-reported pain severity scores and assesses impact of pain upon the subject's daily life, on a 10-point scale (with 10 being the greatest severity/impact). Analysis was change from baseline to week 4., 4 weeks|Time to Spontaneous Stone Passage (All Stones), Time to stone passage for all ureteral stones (regardless of location) is assessed by entries in subject diaries., 4 weeks",PHASE2,239
NCT01005082,Low Salt Diet in Idiopathic Hypercalciuria,COMPLETED,"Randomized clinical trial comparing water therapy plus low-salt diet to water therapy alone in patients affected by idiopathic calcium nephrolithiasis.

Treatment duration: three months Primary end-point: correction of hypercalciuria Main inclusion criteria: calcium stone formers with idiopathic hypercalciuria, with at least one stone expelled and analyzed by infrared spectrophotometry; presence of hypercalciuria (\>300 mg/day in males and \>200 mg/day in females); 18-65 years.

Main exclusion criteria: primary hyperparathyroidism, primary hyperoxaluria, enteric hyperoxaluria, bowel resection, inflammatory bowel disease, renal tubular acidosis, sarcoidosis, sponge kidney, hyperthyroidism, use of hypercalciuric drugs such as Vitamin D, acetazolamide, anti-epileptic drugs",NO,Hypercalciuria,BEHAVIORAL: Low salt diet|BEHAVIORAL: Water therapy alone,Normalization of urinary calcium levels,"Change in urinary stone risk factors (e.g. urinary calcium, oxalate and sodium excretion); blood pressure reduction",PHASE2|PHASE3,210
NCT03638999,NSAIDs Stent Study,RECRUITING,"This is a pilot study to (1) evaluate the effect of Ketorolac on inflammatory response and its impact on stent related symptoms in patients undergoing stent placement procedure and (2) assess feasibility of recruitment, randomization, assessment procedures and implementation of the study intervention.",NO,Ureteral Stent Placement|Kidney Stone,DRUG: Ketorolac Trometamol 30Mg/1mL Injection|DRUG: Normal saline,"Analog Pain Scale, 0 - 10 rating of pain - Stent insertion Day 1, The Analog Pain Scale is a patient reported scale from 0-10 that will be administered after standard surgical procedure of ureteroscopy with or without laser lithotripsy and/or stone extraction). The Analog Pain Scale uses 0 (zero) to describe no pain and 10 will reference worst pain., Stent insertion Day 1|Analog Pain Scale, 0 - 10 rating of pain - Stent removal, The Analog Pain Scale is a patient reported scale from 0-10 that will be administered during the stent removal visit. The Analog Pain Scale uses 0 (zero) to describe no pain and 10 will reference worst pain., Stent removal visit (Approximately 7 to 14 days)|Analog Pain Scale, 0 - 10 rating of pain - Follow-up Visit, The Analog Pain Scale is a patient reported scale from 0-10 that will be administered during follow up visit. The Analog Pain Scale uses 0 (zero) to describe no pain and 10 will reference worst pain., 1 to 2 months post stent removal",,EARLY_PHASE1,36
NCT07070401,The Use of AR / VR in Patients Presenting to the ED With Renal Colic,RECRUITING,Utilization of VR / AR Calming as an adjunct to pharmacologic pain management for Renal Colic in Emergency Department Patients,NO,"Renal Colic|Kidney Stones, Urolithiasis, Hypocitraturia",DEVICE: Commercial AR/VR Headset with Calming App|OTHER: Pharmacologic Standard of Care Alone,"60 Minute Pain Level, Pain Level Change 60 minutes after enrollment, utilizing a 0-10 subjective score, 60 minutes","30 Minute Pain Level, Pain Level 30 minutes after enrollment, utilizing a 0-10 subjective score, 30 minutes|30 Minute Heart Rate, Change in Heart Rate 30 minutes after enrollment, 30 minutes|30 Minute Blood Pressure, Systolic and Diastolic Blood Pressures 30 minutes after enrollment, 30 minutes|60 Minute Heart Rate, Change in Heart Rate 60 minutes after enrollment, 60 Minutes|60 Minute Blood Pressure, Systolic and Diastolic Blood Pressures 60 minutes after enrollment, 60 minutes|Rescue Analgesia Use, Requirement for Rescue Analgesia, 4 hours|Rescue Intervention, Requirement of Specialty Urologic Procedural Intervention for Pain Management (All Cause), 24 Hours",NA,92
NCT06124066,THE EFFECTS OF MIRABEGRON AND TAMSULOSIN FOR PATIENTS WITH URETERAL STENTS,COMPLETED,"Double J stent (ureteral stent) can cause discomfort to patients, generally due to irritation of the bladder mucosa, especially in the trigone area, smooth muscle spasm, and reflux of urine into the ureter. Complaints often appear in patients, especially lower urinary tract symptoms (LUTS), pain in the waist when urinating due to reflux of urine, sexual dysfunction, and hematuria.

Currently, to assess complaints after ureteral stent placement, the Ureteral Stent Symptom Questionnaire instrument consists of 6 topics: urinary complaints, pain, general health, work, sexual problems, and other things.

Interleukin-6 is an important inflammatory cytokine when irritation occurs after ureteral stent placement. Interleukin 10 is a cytokine with potent anti-inflammatory properties that plays a central role in limiting the host's immune response to pathogens, thereby preventing host damage and maintaining normal tissue homeostasis. The profile of these biomarkers has the potential to determine the correct prognosis and therapy.

Mirabegron is a β3 adrenergic receptor agonist that has a dual antioxidant effect that plays a key role in the first step of the antimicrobial response and early resolution of inflammation so that post-stent complaints similar to overactive bladder complaints can be resolved. Tamsulosin (a selective α1A- and α1D-adrenoceptor antagonist) has a relaxing effect on the smooth muscle in the prostate, the neck of the bladder, and the distal ureter, thereby reducing the inflammatory reaction and improving oxidative stress by reducing the formation of reactive oxidative stress.",NO,Ureteral Stone|Kidney Stones|Ureteral Stenosis,DRUG: Mirabegron 50 MG,"serum and urine Interleukin-6 serum level (ELISA), Interleukin-6 serum level, Pre-intervention and immediately after the intervention|serum and urine Interleukin-10 serum level (ELISA), Interleukin-10 serum level, Pre-intervention and immediately after the intervention|Histopathology, The severity of the mucosal inflammatory reaction was graded using a semiquantitative scale where 0=none, 1 = focal lymphocytic infiltration, 2 =diffuse predominantly lymphocytic infiltration, 3 =diffuse predominantly eosinophil polymorphonuclear infiltration and 4 = grade 3 changes in combination with intra-epithelial eosinophilic micro-abscesses., Pre-intervention and immediately after the intervention|Urinary symptoms in the Ureteral Stent Symptom Questionnaire (USSQ) parameter, Minimum values 2 and maximum values 47, Pre-intervention, immediately after the interventio, and up to 4 weeks","Basis data, Characteristic data participants, pre-intervention",PHASE4,42
NCT01604304,Flexible urétéroscopy Versus Extracorporeal Shockwave Lithotripsy in Renal Calculi,COMPLETED,"Flexible ureteroscopy is a recent procedure to treat renal stone. Extracorporeal shockwave lithotripsy was the gold standard treatment for calculi between 5 and 20 mm. In literature, the two procedures are available to treat these stones with a good stone free rate. There is no prospective randomized study comparing these two treatments. Our study will define with a good level of evidence which technique is the best with regard to the stone free rate, secondary procedure rate and adverse effect.",NO,"Extracorporeal Shockwave Lithotripsy, Flexible Ureteroscopy",PROCEDURE: flexible ureteroscopy|PROCEDURE: extracorporeal shockwave lithotripsy,"Stone free rate, Rate of stone free patient or patient with residual fragment ≤ 3 mm, 3 months after the treatment evaluated, will be compare. This outcome is measured with a tomodensitometry and compares with pre treatment exams., Three months","Stone free rate in weight's sub group, Each arm wil be divise in 3 sub group based on body mass index (20 to 25, 25 to 30, 30 to 35). We'll compare rate of efficacity in each sub group, 3 months|Stone free rate in sub group depending on stone diameters, Each arm wil be divise in 3 sub group based on calculi diameter (5 to 10mm, 10 to 15 and 15 to 20). We'll compare rate of efficacity in each sub group, 3 months|Secondary procedure rate, In each arm will be evaluate rate of secondary procedure needed to have the best stone free rate, 3 months|Serious and non serious adverse events, In each arm will be evaluate rate of adverse event, type, severity., 3 months",NA,30
NCT03087149,Monitored vs Standard Supplementation of Vitamin D in Preterm Infants,COMPLETED,The purpose of this study is to determine wheather the monitored vitamin D (vit D) therapy is safer and more effective than standard therapy in pretrem infants.,NO,Vitamin D Deficiency|Osteopenia|Nephrolithiasis|Drug Overdose,DIETARY_SUPPLEMENT: monitored vit D supplementation|DIETARY_SUPPLEMENT: standard vit D supplementation,"Number of Participants with D- deficiency or access, 25-hydroxyvitamin D serum level below 20ng/ml (50nmol/l ) or above 100ng/ml (250nmol/l ), at 40 (+/-2 weeks) PMA (postmenstrual age)|Number of Participants with D- deficiency or access, 25-hydroxyvitamin D serum level below 20ng/ml (50nmol/l ) or above 100ng/ml (250nmol/l ), at 4 weeks of age|Number of Participants with D- deficiency or access, 25-hydroxyvitamin D serum level below 20ng/ml (50nmol/l ) or above 100ng/ml (250nmol/l ), At 35 (+/-2 weeks) PMA (postmenstrual age)|Number of Participants with D- deficiency or access, 25-hydroxyvitamin D serum level below 20ng/ml (50nmol/l ) or above 100ng/ml (250nmol/l ), At 52 (+/-2 weeks) PMA (postmenstrual age)","Number of Participants with biochemical markers of osteopenia, ALP\>500IU and serum phosphate level \<1,8mmol/l or ALP\>900IU, at 35, 40, 52 (+/-2 weeks) PMA (postmenstrual age)|average of bone mass, measurement of speed of sound \[SOS\] in meters per second in the axial transmission mode with a small ultrasound probe along the mid tibia by Sunlight Omnisence 7000 Premier using CRB Probe, at 35, 40 (+/-2 weeks) PMA|Number of Participants with hypercalcemia, serum calcium level above 2,75mmol/l, at 35, 40, 52 (+/-2 weeks) PMA (postmenstrual age)|Number of Participants with hypercalcuria, urine calcium:creatinine ratio \>3,8mmol/mmol for 0-4 week of age; \>3,5mmol/mmol for 5-8 week of age; \>2,8mmol/mmol for 9-12 week of age; \>2,5mmol/mmol for 13-18 week of age; \>2,2mmol/mmol for \>19 week of age, at 35, 40, 52 (+/-2 weeks) PMA|Number of Participants with nephrocalcinosis, nephrocalcinosis detected in ultrasonography examination of kidneys, at 35, 52 (+/-2 weeks) PMA",NA,109
NCT05082142,Tranexamic Acid to Improve Same-day Discharge Rates After Holmium Laser Enucleation of the Prostate (HoLEP),COMPLETED,"This study is designed to assess if there is a significant difference in same day discharge rates after Holmium Laser Enucleation of the Prostate (HoLEP). The investigators attempt to perform HoLEP as a same-day discharge (SDD) procedure, but at Northwestern Memorial, the SDD rate is currently approximately 60%. The limiting factor in SDD is hematuria. Tranexamic acid (TXA) is a clot promoting drug that is commonly used by orthopedic, cardiac and obstetric surgeons to prevent bleeding. The primary outcome will be to assess if there is a difference in SDD rates in those who receive TXA vs. those who do not.

Secondary outcomes will assess bleeding complications (defined as unplanned ED visit/clinic visit/procedure/admission related to bleeding, clot retention, clot evacuation, need for perioperative transfusion) between participants who receive TXA vs. those do not. The study will also assess differences in perioperative complications associated with TXA including but not limited to: deep venous thrombosis, pulmonary embolism, cerebrovascular events, between the groups. The study will also assess for the duration of postoperative hematuria between groups as well as differences in operative times between the groups.

The investigators anticipate that there may be up to a 25% increase in SDD rates in those who receive TXA vs. those who do not.",YES,Kidney Calculi|Urologic Diseases|Benign Prostatic Hypertrophy,DRUG: Tranexamic acid,"Same-day Discharge Rate, Number of participants who are discharged on the same day and have same-day catheter removal., Day 0-1|Length of Stay, Post-operative to discharge home, Day 0-1|Same Day Discharge, 24 hours","Number of Participants With Bleeding Complications, Participants who have bleeding complications (defined as unplanned ED visit/clinic/procedure/admission related to bleeding, clot retention, clot evacuation, need for perioperative transfusion). This will be assessed by a weekly survey distributed to participants for 12 weeks., 12 weeks|Duration of Postoperative Hematuria, Days participants have postoperative hematuria. This will be assessed by a weekly survey distributed to participants for 12 weeks., 12 weeks|Operative Times, Operative times during HoLEP procedure., Day 0|Adverse Events Related to TXA, Number of participants who have adverse events related to TXA (thrombotic events (DVT, PE, stroke), seizures)., 12 weeks",PHASE4,110
NCT04069338,Comparison of Lithotripsy Urolithiasis Machines,COMPLETED,A comparison on the outcomes of patients undergoing shockwave lithotripsy using the Storz machine versus the Dornier machine.,NO,Kidney Stone|Kidney Calculi|Ureteral Calculi|Ureterolithiasis|Urolithiasis,PROCEDURE: Lithotripter,"Stone free rate, Presence of stone on follow up imaging, Four weeks post operative","Fluoroscopy time, Length of fluoroscopy exposure, Intra-operative|Treatment Time, Length of surgical procedure, Intra-operative|Pain Scores, Response to visual analog scale, Four days post-operative|Complication Rates, Medical complications, One month post-operative|Secondary Interventions required, Follow up surgery, One month post-operative",NA,6
NCT01881919,Effect of Quercetin Supplements on Healthy Males: a Four-Week Randomized Cross-Over Trial,COMPLETED,The purpose of this study was to test the effect of chronic consumption of Quercetin 500 mg tablets on blood uric acid and other biomarkers in adult males.,NO,Hyperuricemia|Gout|Kidney Calculi|Diabetes|Cardiovascular Disease,DIETARY_SUPPLEMENT: Treatment|DIETARY_SUPPLEMENT: Control,"Risk of getting hyperuricemia assessed by the measure of plasma uric acid., The change of plasma uric acid level from day 1 on day 15 and day 29 of each arm., Fasting blood samples are taken on day 1, day 15 and day 29 of each arm","Kidney excretion of uric acid: urinary uric acid level, Difference in 24-h urinary uric acid level at 14 days and 28 days between arms, 24 h urine samples are collected on day 14 and 28 of each arm and volume is recorded|Blood pressure, To monitor the compliance of subject., Blood pressure is measured on day 1 and 29 of each arm|Blood glucose, The change of plasma glucose level from the baseline at day 15 and day 29 of each arm., Fasted blood samples are collected on day 1, 15, 29 of each arm|Metabolomic and metabonomic profiling of blood plasma, 1H NMR (proton nuclear magnetic resonance ), Fasting blood samples are taken on day 1, day 15 and day 29 of each arm",EARLY_PHASE1,22
NCT04069013,Standard vs Mini-PCNL for the Treatment of Stone Disease,COMPLETED,Randomized comparison of patient outcomes following standard PCNL versus mini-PCNL.,NO,Urolithiasis|Kidney Stone|Kidney Calculi|Ureteral Calculi|Kidney Diseases,PROCEDURE: PCNL,"Blood loss as estimated by postoperative decreases in hemoglobin Blood loss as estimated by postoperative decreases in hemoglobin Blood Loss, Blood loss as estimated by postoperative decreases in hemoglobin Blood loss as estimated by postoperative decreases in hemoglobin Blood loss as estimated by postoperative decreases in hemoglobin Blood loss as estimated by postoperative decreases in hemoglobin Post-op decreases in hemoglobin, Post-operative day 1","Surgical outcomes, Discharge time, 30 Days|Complication Rates, Complication Rates, 30 Days|Renal Pelvis Pressures, Intraoperative renal pelvis pressures, Intraoperative|Procalcitonin- Inflammatory Markers, Procalcitonin, Post operative day 1|IL-6 Inflammatory Markers, IL-6, Post operative day 1",NA,18
NCT01022060,Renalof in the Dissolution of Renal Calculi in Patients With Recurrent Calcic Lithiasis,COMPLETED,The purpose of this study is to determine whether Renalof administration promotes partial or total dissolution of urinary calculi and improves physicochemical parameters and metabolic activity in patients with recurrent calcic urolithiasis. The duration of this double-blind placebo controlled phase 3 clinical trial will be 12 weeks. The estimated number of patients to be recruited and randomized for the study is 110. Ultrasonographic and humoral parameters will be assessed every 4 weeks.,NO,Recurrent Calcic Urolithiasis,DIETARY_SUPPLEMENT: Renalof|DIETARY_SUPPLEMENT: Placebo,"Size of calculi at week 12 (end of the treatment); week 0 refers to the beginning of treatment), 12 weeks|Number of calculi at week 12 (end of the treatment); week 0 refers to the beginning of treatment, 12 weeks|Lithiasic activity at week 12 (end of the treatment); week 0 refers to the beginning of treatment, 12 weeks","Calciuria at week 12, 12 weeks|Uricosuria at week 12, 12 weeks|Blood Uric acid at week 12, 12 weeks|Oxaluria at week 12, 12 weeks|Citraturia at week 12, 12 weeks|Phosphatemia at week 12, 12 weeks|Calcemia at week 12, 12 weeks|Total plasmatic calcium at week 12, 12 weeks|Blood ionic calcium at week 12, 12 weeks|Calcium Oxalate crystallization risk at week 12, 12 weeks|Calcium phosphate activity product at week 12, 12 weeks|Calcium Oxalate activity product at week 12, 12 weeks|pH of urine at week 12, 12 weeks|Presence of adverse effects at any moment of treatment, 12 weeks",PHASE3,110
